,text,topic,Null
1,"
به گزارش خبرگزاری مهر و به نقل از روابط عمومی فدراسیون ووشو، هفته نخست رقابت‌های لیگ ووشو جوانان در بخش مردان امروز (جمعه ۲۶ آبان ماه ۱۴۰۲) در محل آکادمی ملی ووشو تهران برگزار شد. پیش از آغاز رسمی این رقابت‌ها به احترام شهدای غزه یک دقیقه سکوت اعلام شد.  رقابت‌های لیگ جوانان ووشو در دو گروه پیگیری می‌شود که در گروه نخست تیم‌های هیأت ووشو کرمانشاه، هیأت ووشو خراسان جنوبی، هیأت ووشو گلستان، هیأت ووشو خراسان شمالی، هیأت ووشو زرین رود خدابنده و هیأت ووشو زنجان حضور دارند.  در گروه دوم این پیکارها رنگ فیروزه شیراز، باشگاه مقاومت، هیأت ووشو نور، هیأت ووشو قم، هیأت ووشو اردبیل و فولاد هرمزگان حاضر خواهند بود.  نتایج هفته نخست لیگ ووشو جوانان به شرح زیر است:  گروه یک: هیأت ووشو خراسان شمالی ۷ – ۴ هیأت ووشو کرمانشاه هیأت ووشو زرین رود ۷ – ۷ هیأت ووشو خراسان جنوبی هیأت ووشو زنجان صفر – ۱۲ هیأت ووشو گلستان هیأت ووشو زرین رود ۴ – ۶ هیأت ووشو کرمانشاه هیأت ووشو زنجان صفر- ۱۳ هیأت ووشو خراسان شمالی  گروه دو: فولاد هرمزگان ۱۲ – ۳ رنگ فیروزه شیراز هیأت ووشو اردبیل ۸ – ۸ باشگاه مقاومت هیأت ووشو قم ۸ – ۵ هیأت ووشو نور هیأت ووشو اردبیل ۴ – ۱۱ رنگ فیروزه شیراز هیأت ووشو قم ۴ – ۱۲ فولاد هرمزگان  هفته دوم این پیکارها ۱۰ آذرماه به میزبانی آکادمی ملی ووشو تهران برگزار خواهد شد.

",sports,FALSE
2,"
به گزارش خبرگزاری مهر و به نقل از روابط عمومی فدراسیون جودو در ادامه مسابقات جودو قهرمانی نوجوانان آسیا که به میزبانی ازبکستان در تاشکند جریان دارد، تیم ملی کشورمان موفق به کسب یک نقره و یک برنز شد.

امروز جمعه ۲۶ آبان ماه در روز دوم و پایانی این رقابت‌ها تیم کشورمان حاصل تلاش هفت نماینده کشورمان یک مدال نقره بود.

ابوالفضل محبی در وزن ۹۰- کیلوگرم ابتدا «آناند» از مغولستان را با ضربه فنی از پیش رو برداشت و سپس «محمد المالکی» از عربستان از نیز شکست داد و راهی مرحله نیمه نهایی شد. محبی در این مرحله «یرونلانیف» از قزاقستان را شکست داد و راهی مبارزه نهایی شد. نماینده کشورمان برای کسب مدال طلا در مبارزه پایانی به مصاف «ماخکاموف» از ازبکستان را پیش رو داشت که با واگذاری نتیجه به رقیب صاحب نشان ارزشمند نقره شد.

در همین وزن حافظ ایزانلو ر مبارزه نخست برابر «علیف» از تاجیکستان با ضرفه فنی پیروز شد و در ادامه برابر «پولتاشف» نماینده میزبان بازنده شد. ایزانلو در گروه شانس مجدد در دو مبارزه متوالی «کومار» از هند و «شائو وی» از چین تایپه را از پیش رو برداشت و راهی دیدار رده بندی شد. وی در دیدار رده بندی نتیجه را به «یرونلانیف» از قزاقستان واگذار کرد و در جای پنجم ایستاد.

در وزن ۹۰+ کیلوگرم نیز تیم ملی کشورمان دو نماینده داشت. محمد مهدی مظلوم در مبارزه نخست نتیجه را «یونگ وو» از کره جنوبی واگذار کرد و به گروه شانس مجدد رفت. وی در این مرحله ابتدا «ژانگ» از چین تایپه و سپس «شاه میر خدری» از تاجیکستان را شکست داد و به دیدار رده بندی رفت. مظلوم برای کسب مدال برنز «یرژانولیف» از قزاقستان را پیش رو داشت که برابر این رقیب بازنده شد و عنوان پنجم را کسب کرد.

علیرضا نیک سرشت دیگر جودوکار ایرانی این وزن در اولین مبارزه نتیجه را به «تاباروف» از تاجیکستان واگذار کرد و حذف شد.

حامد نور محمدی در وزن ۷۳- کیلوگرم دور نخست به «کیم یونگ مین» از کره جنوبی نتیجه را واگذار کرد و حذف شد. پویا علیجانی هم در در وزن ۸۱- کیلوگرم به «نورف» از تاجیکستان نتیجه را واگذار کرد و از جدول خارج شد.

در گروه دختران و در وزن ۵۷- کیلوگرم سمیرا خاک خواه در مبارزه نخست برابر «عبدیسالووا» از ترکمنستان به برتری رسید. وی در مبارزه دوم نتیجه را به «ژول دوشیووا» از قرقیزستان واگذار کرد. خاک خواه در گروه شانس مجدد برابر «اینکیجن» از مغولستان بازنده تاتامی را ترک کرد و از رسیدن به مدال بازماند.

مهشید صفری در وزن ۶۳- کیلوگرم در دو مبارزه متوالی به «یانگ جیون» از کره جنوبی و «ژیبک» از قزاقستان باخت و حذف شد.

",sports,FALSE
3,"
به گزارش خبرنگار مهر، آخرین روز مرحله گروهی جام جهانی زیر ۱۷ سال اندونزی امروز جمعه در گروه C با برگزاری دو دیدار پیگیری شد و در گروهی که نوجوانان ایران حضور دارند تیم نوجوانان برزیل موفق شد با نتیجه ۲ بر یک انگلیس را شکست دهد.

* نوجوانان انگلیس یک - نوجوانان برزیل ۲

گل‌ها: نوگوئیرا (۴۳) و داماتا (۵۴) برای برزیل و اندالا (۷۱) برای انگلیس

در دیگر مسابقه این گروه هم نوجوانان ایران با نتیجه ۵ بر صفر از سد نیوکالدونیا عبور کردند.

با پایان رسیدن این دو مسابقه، سه تیم برزیل، انگلیس و ایران ۶ امتیازی شدند تا تفاضل گل تعیین کننده ترتیب قرارگیری تیم‌ها در جدول نهایی گروه باشد.

به این ترتیب تیم فوتبال نوجوانان انگلیس با ۶ امتیاز و تفاضل گل مثبت ۱۰ در صدر جدول قرار گرفت و نوجوانان برزیل با ۶ امتیاز و تفاضل گل مثبت ۹ و نوجوانان ایران با ۶ امتیاز و تفاضل گل مثبت ۵ به عنوان تیم دوم و سوم راهی مرحله حذفی شدند.



با توجه به آئین نامه مسابقات، از بین تیم‌های سوم در گروه‌های شش گانه، چهار تیم برتر هم راهی مرحله حذفی می‌شوند.

در حال حاضر، در سه گروه نخست این مسابقات، همه بازی‌ها به پایان رسیده است و جدول نهایی تیم‌ها مشخص شده است که در گروه A اندونزی با ۲ امتیاز، در گروه B ازبکستان با ۴ امتیاز و در گروه C هم ژاپن با ۶ امتیاز و تفاضل گل مثبت یک تیم‌های سوم جدول هستند.

با این شرایط، نوجوانان ایران با ۶ امتیاز و تفاضل گل مثبت ۵ بالاتر از سه تیم اندونزی، ازبکستان و ژاپن صعودش به مرحله یک هشتم نهایی قطعی شده است.

",sports,FALSE
4,"
به گزارش خبرنگار مهر، روز پایانی مرحله گروهی رقابت های جام جهانی زیر ۱۷ سال که به میزبانی جاکارتا اندونزی برگزار می شود، از ساعت ۱۵:۳۰ دقیقه امروز جمعه با دیدار ایران و کالدونیا پیگیری شد که طی آن ملی پوشان کشورمان به برتری ۵ بر صفر دست پیدا کردند.

حسین عبدی پس از این پیروزی گفت: به مردم خوب کشورمان تبریک می گویم و امیدوارم بتوانیم در دیدار بعدی برابر مراکش هم نمایش خوبی داشته باشیم و با صعود به مرحله بعد آنها را خوشحال کنیم.

وی ادامه داد: کار سختی داشتیم اما می توانستیم به عنوان تیم اول راهی مرحله بعد شویم. سرنوشت دست خودمان بود اما به هر حال نتایج به گونه ای رقم خورد که به عنوان تیم سوم راهی مرحله شدیم.

سرمربی تیم فوتبال نوجوانان ایران ادامه داد: خدا را شکر می کنم که همه بازیکنان در سلامت کامل هستند. ما هدف مان این بود که بتوانیم بازیکنان را برای دیدار بعدی در اختیار داشته باشیم که این اتفاق رخ داد.

حسین عبدی در مورد پیروزی برابر کالدونیا نیز گفت: می خواستیم گل های زیادی بزنیم اما به هر حال بازیکنان در اجرا و زدن گل خوب عمل نکردند و نتوانستیم بر تعداد گل های زده مان اضافه کنیم.

عبدی در مورد دیدار با مراکش در مرحله بعد هم گفت: مراکش تیم فوق العاده خوبی است و طبیعتا کار سختی برابر این تیم خواهیم داشت. اما تلاش مان را می کنیم که برنده شویم و بتوانیم به مرحله بعدی صعود کنیم.

",sports,FALSE
5,"
به گزارش خبرنگار مهر، روز پایانی مرحله گروهی رقابت‌های جام جهانی زیر ۱۷ سال که به میزبانی جاکارتا اندونزی برگزار می‌شود، از ساعت ۱۵:۳۰ دقیقه امروز جمعه با دیدار ایران و کالدونیا پیگیری شد که طی آن ملی پوشان کشورمان به برتری ۵ بر صفر دست پیدا کردند.

امیرمحمد رزاقی نیا (۱۷ و ۳۴)، رضا قندی پور (۷۶)، محمد عسگری (۵+۹۰) و کسری طاهری (۹۰+۷) برای ایران گل زدند.

تیم ایران در این دیدار با آرشا شکوری، عرفان درویش عالی، حسام نفری، نیما اندرز(۵۶ - محمد عسگری)، علیرضا همایی فرد، امیر محمد رزاقی نیا، ابوالفضل زمانی(۸۲ - علیرضا شریفی)، یعقوب براجعه، ماهان صادقی(۶۸ - ابوالفضل ذلیخایی)، اسماعیل قلی زاده(۴۶ - کسری طاهری) و ابوالفضل موردی(۵۶ - رضا غندی‌پور) به میدان رفت.

شاگردان حسین عبدی در شرایطی گام در دیدار سوم خود گذاشتند که ابتدا برزیل را ۳ بر ۲ شکست داده بودند و در دیدار دوم ۲ بر یک به انگلیس باختند تا کارشان برای صعود به دیدار پایانی برابر کالدونیا و البته نتیجه دیدار تیم‌های انگلیس و برزیل بکشد.

تیم کالدونیا نیز که در دو دیدار گذشته برابر برزیل و انگلیس ۱۰ و ۹ گل از این دو تیم دریافت کرده بود، به عنوان ضعیف‌ترین تیم گروه وارد زمین شد و قابل پیش بینی بود که با چند گل به ایران ببازد اما در نیمه اول تنها دو گل دریافت کرد.

ملی پوشان نوجوان کشورمان که برای رسیدن به گل عجله زیادی داشتند از همان دقیق اول حملاتی را روی دروازه حریف پی ریزی کردند اما در زدن ضربه آخر موفقیتی زیادی نداشتند و تنها دو بار توسط امیرمحمد رزاقی نیا در دقایق ۱۷ و ۳۴ به گل رسیدند.

تیم فوتبال نوجوانان ایران البته در دقیقه ۲۵ با تشخیص و کمک سیستم ویدئویی صاحب یک ضربه پنالتی شد که این ضربه را اسماعیل قلی زاده به تیر دروازه زد تا یک گل از شاگردان حسین عبدی گرفته شود.

در نیمه دوم تیم نوجوانان ایران اکثر دقایق را پشت محوطه و داخل محوطه جریمه تیم کالدونیا بود و موقعیت‌های پرتعدادی را هم برای رسیدن به گل خلق کرد اما بازیکنان در زدن ضربات آخر کم دقت و عجول بودند.

با این حال ملی پوشان کشورمان در دقیقه ۷۶ توانستند یک بار دیگر دروازه حریف را باز کنند. این در حالی بود که تیم ایران برای صعود به مرحله بعد گل‌های بیشتر می‌خواست. تعویض‌هایی که حسین عبدی در دقایق آخر انجام داد روند گلزنی تیم نوجوانان را بهتر کرد و در دقایق وقت اضافه دو گل دیگر هم زد تا ۵ بر صفر برنده شود و برای صعود منتظر نتایج دیگر باشد.

به گزارش خبرنگار مهر، در دیدار برگزار شده همزمان، تیم فوتبال نوجوانان برزیل ۲ بر یک انگلیس را شکست داد و ۶ امتیازی شد و با توجه به شرایط بهتر نسبت به تیم ایران این دو تیم به طور مستقیم راهی مرحله بعد شدند. تیم ایران هم به عنوان یکی از سه تیم برتر راهی مرحله بعد شد و باید در مرحله یک هشتم نهایی به مصاف تیم مراکش برود.

",sports,FALSE
6,"
به گزارش خبرگزاری مهر و به نقل از روابط عمومی فدراسیون تنیس، با اعلام فدراسیون جهانی تنیس ، تیم ملی بانوان ایران با ۱۲ پله صعود به رتبه ۷۳ جدول رده بندی بیلی جین کینگ کاپ صعود کرد.

با توجه به موفقیت بانوان کشورمان در رقابت های بیلی جین کینگ کاپ بحرین و صعود به گروه ۲ آسیا و اقیانوسیه ، با اعلام فدراسیون جهانی نمایندگان ایران از رتبه ۸۵ دنیا به رتبه ۷۳ رده بندی صعود کردند.

مسابقات بیلی جین کینگ کاپ از ۲۶ تا ۲۹ مهرماه با حضور تیم‌های ایران، ویتنام، تاجیکستان، لائوس، برونئی، مالدیو، قرقیزستان، بحرین، بوتان، عراق، ماکائو، عربستان، قطر و نپال برگزار شد و نمایندگان کشورمان جواز حضور در گروه ۲ آسیا و اقیانوسیه را بدست آوردند.

",sports,FALSE
7,"
به گزارش خبرنگار مهر، تیم فوتبال پرسپولیس که در هفته گذشته نوسان و تنش‌های زیادی را پشت سرگذاشته بود، از روز پنجشنبه تمریناتش را برای برگزاری دیدار برگشت برابر النصر آغاز کرد.

سرخپوشان روز جمعه در شرایطی تمرین کردند که تعدادی از کودکان کار با حضور در محل تمرین این تیم با بازیکنان عکس یادگاری گرفتند و سرخپوشان هم پس از چند روز پر استرس با گرفتن عکس تیمی به شرایط بهتری رسیدند.





",sports,FALSE
8,"
به گزارش خبرنگار مهر، روز پایانی مرحله گروهی رقابت های جام جهانی زیر ۱۷ سال که به میزبانی جاکارتا اندونزی برگزار می شود، از ساعت ۱۵:۳۰ دقیقه امروز جمعه با دیدار ایران و کالدونیا پیگیری شد که طی آن ملی پوشان کشورمان در نیمه اول به برتری ۲ بر صفر دست پیدا کردند.

شاگردان حسین عبدی در شرایطی گام در دیدار سوم خود گذاشتند که ابتدا برزیل را ۳ بر ۲ شکست داده بودند و در دیدار دوم ۲ بر یک به انگلیس باختند تا کارشان برای صعود به دیدار پایانی برابر کالدونیا و البته نتیجه دیدار تیم های انگلیس و برزیل بکشد.

تیم کالدونیا نیز که در دو دیدار گذشته برابر برزیل و انگلیس ۱۰ و ۹ گل از این دو تیم دریافت کرده بود، به عنوان ضعیف ترین تیم گروه وارد زمین شد و قابل پیش بینی بود که با چند گل به ایران ببازد اما در نیمه اول تنها دو گل دریافت کرد.

ملی پوشان نوجوان کشورمان که برای رسیدن به گل عجله زیادی داشتند از همان دقیق اول حملاتی را روی دروازه حریف پی ریزی کردند اما در زدن ضربه آخر موفقیتی زیادی نداشتند و تنها دو بار توسط امیرمحمد رزاقی نیا در دقایق ۱۷ و ۳۴ به گل رسیدند.

تیم فوتبال نوجوانان ایران البته در دقیقه ۲۵ با تشخیص و کمک سیستم ویدئویی صاحب یک ضربه پنالتی شد که این ضربه را اسماعیل قلی زاده به تیر دروازه زد تا یک گل از شاگردان حسین عبدی گرفته شود.

",sports,FALSE
9,"
به گزارش خبرگزاری مهر به نقل از بخش رسانه‌ای تیم ملی فوتبال، دکتر پرهان خانلری پزشک تیم ملی فوتبال اعلام کرد: علیرضا جهانبخش در جریان دیدار برابر هنگ‌کنگ از ناحیه همسترینگ دچار آسیب‌دیدگی جزیی شد و بر این اساس او برای رفع این آسیب دیدگی به دو هفته استراحت نیاز دارد.

او افزود: با تصمیم اتخاذ شده جهانبخش برای درمان آسیب دیدگی خود روز یکشنبه عازم هلند خواهد شد، بنابراین امکان حضور این بازیکن در دیدار برابر ازبکستان فراهم نیست.

",sports,FALSE
10,"
به گزارش خبرگزاری مهر، براساس اعلام بخش رسانه‌ای باشگاه تراکتور، با حضور محمدرضا زنوزی مطلق مالک باشگاه، هوشنگ نصیرزاده مدیرعامل و پاکو خمز سرمربی امروز جمعه جلسه بررسی شرایط تیم فوتبال تراکتور برگزار شد.

طی این جلسه ضمن بررسی شرایط تیم، نگرانی هواداران و نکته نظرات فنی کارشناسان در خصوص مسائل مختلف پیرامون تیم نظیر ترکیب و نتایج حاصل شده در هفته‌های اخیر به سرمربی تیم منتقل شد.

همچنین پاکو خمز نیز با پذیرش مسئولیت نتایج و عملکرد تیم، برنامه‌های خود را در رابطه با بهبود شرایط تیم تشریح کرد.

در پایان این جلسه مقرر گردید، تمامی ارکان باشگاه هم‌راستا با برنامه‌های کادر فنی، بستر لازم را جهت بهبود روند نتیجه‌گیری و موفقیت در ادامه مسابقات فراهم نمایند.

",sports,FALSE
